strDrink,strCategory,strGlass,strIngredients,Basic_taste,strInstructions
Chocolate Monkey,Milk / Float / Shake,Parfait glass,"['Chocolate Ice-Cream', 'Chocolate Syrup', 'Banana', 'Chocolate Milk', 'Whipped Cream', 'Cherry']",sweet,"blend liqeuors with ice-cream, milk and syrup. pour into parfait glass, top with whipped cream and garnish with banana and cherry."
Citrus Coke,Soft Drink / Soda,Highball Glass,['Coca-Cola'],sweet,Pour half of coke in a glass. Then add Bacardi and top it off with the remaining coke. Stir and drink up!
City Slicker,Ordinary Drink,Cocktail glass,['Lemon Juice'],sour,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
Classic Old-Fashioned,Ordinary Drink,Old-fashioned glass,"['Water', 'Sugar', 'Orange', 'Maraschino Cherry']",sweet,"In an old-fashioned glass, muddle the bitters and water into the sugar cube, using the back of a teaspoon. Almost fill the glass with ice cubes and add the bourbon. Garnish with the orange slice and the cherry. Serve with a swizzle stick."
Clover Club,Ordinary Drink,Cocktail glass,"['Grenadine', 'Lemon', 'Egg White']",egg,"Dry shake ingredients to emulsify, add ice, shake and served straight up."
Cosmopolitan,Cocktail,Cocktail glass,"['Cranberry Juice', 'Lime Juice']",sour,Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.
Cosmopolitan Martini,Cocktail,Cocktail Glass,"['Lime', 'Cranberry Juice']",sour,"Pour all ingredients in mixing glass half filled with ice, shake and strain into chilled Martini glass."
Cream Soda,Cocktail,Highball glass,['Ginger Ale'],sweet,Pour 1oz of Spiced Rum into a highball glass with ice. Fill with Ginger Ale.
Cuba Libra,Ordinary Drink,Highball glass,"['Lime', 'Coca-Cola']",sweet,Fill tall glass with ice cubes. Add rum. Rub cut edge of lime on rim of glass then squeeze juice into glass. Fill with Coca-Cola. Garnish with lime slice. Enjoy!
Cuba Libre,Ordinary Drink,Highball glass,"['Lime', 'Coca-Cola']",sweet,Build all ingredients in a Collins glass filled with ice. Garnish with lime wedge.
Daiquiri,Ordinary Drink,Cocktail glass,"['Lime', 'Powdered Sugar']",sweet,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.
Danbooka,Coffee / Tea,Coffee Mug,['Coffee'],bitter,pour it in and mix it.
Dark Caipirinha,Cocktail,Highball glass,"['Lime', 'Demerara Sugar']",sweet,"Muddle the sugar into the lime wedges in an old-fashioned glass.
Fill the glass with ice cubes.
Pour the cachaca into the glass.
Stir well."
Dark and Stormy,Ordinary Drink,Highball glass,['Ginger Beer'],sweet,In a highball glass filled with ice add 6cl dark rum and top with ginger beer. Garnish with lime wedge.
Darkwood Sling,Soft Drink / Soda,Cocktail glass,"['Orange Juice', 'Soda Water']",sweet,"There are many good cherry liqueurs you can use, but I prefere Heering. Add one share of the liqueur. Then you add one share of Soda. For a sour sling use Tonic (most people prefer the drink without Tonic). Afterwards you fill the glass with Orange Juice and ice cubes."
Derby,Ordinary Drink,Cocktail glass,['Mint'],mint,Pour all ingredients into a mixing glass with ice. Stir. Strain into a cocktail glass. Garnish with a sprig of fresh mint in the drink.
Diesel,Beer,Pint glass,['Blackcurrant Cordial'],sweet,Pour the lager first then add the blackcurrant cordial. Top up with the cider. The colour sholud be very dark approaching the colour of Guiness.
Dirty Martini,Cocktail,Cocktail glass,"['Lemon', 'Olive', 'Olive Brine']",salty,"Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well.
Rub the rim of a martini glass with the wedge of lemon.
Strain the contents of the cocktail shaker into the glass and add the olive.
A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive."
Downshift,Punch / Party Drink,Hurricane glass,"['Sprite', 'Fruit Punch']",sweet,"Start with the Sprite. Next comes the tequila. After that, add the Minute Maid Fruit Punch, then float the 151. Rocks optional."
Dragonfly,Ordinary Drink,Highball glass,"['Ginger Ale', 'Lime']",sour,"In a highball glass almost filled with ice cubes, combine the gin and ginger ale. Stir well. Garnish with the lime wedge."
Dry Rob Roy,Ordinary Drink,Cocktail glass,['Lemon Peel'],sour,"In a mixing glass half-filled with ice cubes, combine the Scotch and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist."
Dubonnet Cocktail,Ordinary Drink,Cocktail glass,['Lemon Peel'],sour,Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.
Duchamp's Punch,Cocktail,Old-fashioned glass,"['Lime Juice', 'Lavender', 'Pepper', 'Pineapple Syrup', 'St. Germain']",sweet,"Shake all ingredients.
Double strain in a chilled double old fashioned glass with abig ice cube.
Garnish with a couple of lavender sprigs"
Egg Nog #4,Punch / Party Drink,Punch bowl,"['Vanilla Extract', 'Salt', 'Whipping Cream', 'Egg White', 'Milk', 'Sugar', 'Nutmeg', 'Egg Yolk', 'Sugar']",sweet,"In a small mixer bowl beat egg yolks till blended. Gradually add 1/4 cup sugar, beating at high speed till thick and lemon colored. Stir in milk, stir in rum, bourbon, vanilla, and salt. Chill thoroughly. Whip cream. Wash beaters well. In a large mixer bowl beat egg whites till soft peaks form. Gradually add remaining 1/4 cup sugar, beating to stiff peaks. Fold yolk mixture and whipped cream into egg whites. Serve immediately. Sprinkle nutmeg over each serving. Serve in a punch bowl or another big bowl. NOTE: For a nonalcoholic eggnog, prepare Eggnog as above, except omit the bourbon and rum and increase the milk to 3 cups."
Egg Nog - Healthy,Punch / Party Drink,Collins Glass,"['Nutmeg', 'Sugar', 'Egg', 'Vanilla Extract', 'Condensed Milk Skimmed', 'Milk Skimmed']",cream,"Whip egg substitute and sugar together, combine with the two kinds of milk, vanilla, and rum. Mix well. Chill over night. Sprinkle with nutmeg. Makes 6 servings."
Egg-Nog - Classic Cooked,Punch / Party Drink,Pitcher,"['Egg', 'Vanilla Extract', 'Sugar', 'Milk', 'Salt']",salty,"In large saucepan, beat together eggs, sugar and salt, if desired. Stir in 2 cups of the milk. Cook over low heat, stirring constantly, until mixture is thick enough to coat a metal spoon and reaches 160 degrees F. Remove from heat. Stir in remaining 2 cups milk and vanilla. Cover and regfigerate until thoroughly chilled, several hours or overnight. Just before serving, pour into bowl or pitcher. Garnish or add stir-ins, if desired. Choose 1 or several of: Chocolate curls, cinnamon sticks, extracts of flavorings, flavored brandy or liqueur, fruit juice or nectar, ground nutmeg, maraschino cherries, orange slices, peppermint sticks or candy canes, plain brandy, run or whiskey, sherbet or ice-cream, whipping cream, whipped. Serve immediately."
English Highball,Ordinary Drink,Highball glass,"['Lemon Peel', 'Carbonated Water']",water,"Pour brandy, gin, and sweet vermouth into a highball glass over ice cubes. Fill with carbonated water. Add the twist of lemon peel, stir, and serve. (Ginger ale may be substituted for carbonated water, if preferred.)"
English Rose Cocktail,Ordinary Drink,Cocktail glass,"['Lemon Juice', 'Grenadine', 'Cherry']",sweet,Rub rim of cocktail glass with lemon juice and dip rim of glass in powdered sugar. Shake all ingredients (except cherry) with ice and strain into sugar-rimmed glass. Top with the cherry and serve.
Espresso Martini,Cocktail,Cocktail glass,['Sugar Syrup'],sweet,"Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass"
Fahrenheit 5000,Shot,Shot glass,['Tabasco Sauce'],spicy,Cover bottom of shot glass with Tabasco Sauce and then fill with half Firewater and half Absolut Peppar.
Flaming Dr. Pepper,Shot,Collins Glass,['Dr. Pepper'],spicy,"Add Amaretto, Bacardi, and vodka. Mix in the Dr. Pepper and beer"
Flander's Flake-Out,Ordinary Drink,Collins Glass,['Sarsaparilla'],sweet,Bang 'em both in.
Flying Scotchman,Ordinary Drink,Cocktail glass,['Sugar Syrup'],sweet,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Foxy Lady,Ordinary Drink,Cocktail glass,['Light Cream'],cream,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve."
French 75,Ordinary Drink,Collins glass,"['Orange', 'Lemon Juice', 'Maraschino Cherry', 'Sugar Superfine']",sweet,"Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently."
French Martini,Cocktail,Cocktail glass,['Pineapple Juice'],sweet,Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.
Frisco Sour,Ordinary Drink,Whiskey sour glass,"['Lemon', 'Lime', 'Lemon', 'Lime']",sour,Shake all ingredients (except slices of lemon and lime) with ice and strain into a whiskey sour glass. Decorate with the slices of lemon and lime and serve.
Frozen Daiquiri,Ordinary Drink,Champagne flute,"['Cherry', 'Sugar', 'Lime Juice']",sour,"Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve."
Frozen Mint Daiquiri,Ordinary Drink,Old-fashioned glass,"['Mint', 'Lime Juice', 'Sugar']",sweet,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into an old-fashioned glass and serve.
Frozen Pineapple Daiquiri,Ordinary Drink,Champagne flute,"['Sugar', 'Lime Juice', 'Pineapple']",sweet,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into a champagne flute and serve.
Fuzzy Asshole,Coffee / Tea,Coffee mug,['Coffee'],bitter,fill coffe mug half full of coffee. Fill the other half full of Peach Schnapps. Stir and drink while hot.
GG,Ordinary Drink,Collins Glass,['Ginger Ale'],sweet,Pour the Galliano liqueur over ice. Fill the remainder of the glass with ginger ale and thats all there is to it. You now have a your very own GG.
Gagliardo,Cocktail,Cocktail glass,"['Lemon Juice', 'Sirup Of Roses']",sweet,"Shake well and serve in a cocktail glass. This is a home cocktail of American/Internet Bar del Pozzo, Pavia, Italy."
Gentleman's Club,Ordinary Drink,Old-fashioned glass,['Club Soda'],sweet,"In an old-fashioned glass almost filled with ice cubes, combine all of the ingredients. Stir well."
Gideon's Green Dinosaur,Ordinary Drink,Collins glass,['Mountain Dew'],sweet,Add all ingredients in collins glass with ice and stir.
Gin And Tonic,Ordinary Drink,Highball glass,"['Lime', 'Tonic Water']",water,Pour the gin and the tonic water into a highball glass almost filled with ice cubes. Stir well. Garnish with the lime wedge.
Gin Cooler,Ordinary Drink,Collins glass,"['Powdered Sugar', 'Carbonated Water', 'Lemon Peel', 'Orange Spiral']",sweet,Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice and add gin. Fill with carbonated water and stir. Add the lemon peel and the orange spiral so that the end of the orange spiral dangles over rim of glass.
Gin Daisy,Ordinary Drink,Old-fashioned glass,"['Maraschino Cherry', 'Sugar Superfine', 'Grenadine', 'Orange', 'Lemon Juice']",sour,"In a shaker half-filled with ice cubes, combine the wine, lemon juice, sugar, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the cherry and the orange slice."
Gin Fizz,Ordinary Drink,Highball glass,"['Lemon', 'Carbonated Water', 'Powdered Sugar']",sweet,"Shake all ingredients with ice cubes, except soda water. Pour into glass. Top with soda water."
Gin Rickey,Cocktail,Highball glass,"['Soda Water', 'Lime', 'Lemon', 'Grenadine']",sweet,Half-fill a tall glass with ice. Mix the gin and Grenadine together and pour over the ice. Add the lime or lemon juice and top off with soda water. Decorate the glass with lime and/or lemon slices.
Gin Sling,Ordinary Drink,Old-fashioned glass,"['Lemon', 'Water', 'Powdered Sugar', 'Orange Peel']",sweet,Dissolve powdered sugar in mixture of water and juice of lemon. Add gin. Pour into an old-fashioned glass over ice cubes and stir. Add the twist of orange peel and serve.
Gin Smash,Ordinary Drink,Old-fashioned glass,"['Cherry', 'Carbonated Water', 'Orange', 'Sugar', 'Mint']",mint,"Muddle sugar with carbonated water and mint sprigs in an old-fashioned glass. Add gin and 1 ice cube. Stir, add the orange slice and the cherry, and serve."
Gin Sour,Ordinary Drink,Whiskey sour glass,"['Lemon Juice', 'Sugar Superfine', 'Maraschino Cherry', 'Orange']",sweet,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry."
Gin Squirt,Ordinary Drink,Highball glass,"['Grenadine', 'Pineapple', 'Powdered Sugar', 'Strawberries', 'Carbonated Water']",water,"Stir gin, grenadine, and powdered sugar with ice and strain into a highball glass over ice cubes. Fill with carbonated water and stir. Decorate with the pineapple chunks and the strawberries and serve."
Gin Swizzle,Ordinary Drink,Highball glass,"['Lime Juice', 'Sugar Superfine', 'Club Soda']",sweet,"In a shaker half-filled with ice cubes, combine the lime juice, sugar, gin, and bitters. Shake well. Almost fill a colling glass with ice cubes. Stir until the glass is frosted. Strain the mixture in the shaker into the glass and add the club soda."
Gin Toddy,Ordinary Drink,Old-fashioned glass,"['Water', 'Lemon Peel', 'Powdered Sugar']",sweet,"Mix powdered sugar and water in an old-fashioned glass. Add gin and one ice cube. Stir, add the twist of lemon peel, and serve."
Girl From Ipanema,Ordinary Drink,Wine Glass,"['Agave Syrup', 'Lemon Juice']",sour,"Add the cachaca, lemon juice and syrup to your boston glass. Add ice and shake until ice cold. Pour into a chilled flute and top-up with Champagne"
Gluehwein,Punch / Party Drink,Irish coffee cup,"['Water', 'Cinnamon', 'Sugar', 'Cloves', 'Lemon Peel']",sour,"Boil sugar and spices in water, leave in the water for 30 minutes. Strain the spiced water and mix with the wine. Heat slowly until short of boiling temperature. (To remove alcohol, let it boil for a while.) You may add lemon or orange juice to taste. Serve in irish coffee cup."
Godchild,Ordinary Drink,Champagne flute,['Heavy Cream'],cream,"Shake all ingredients well with cracked ice, strain into a champagne flute, and serve."
Golden dream,Ordinary Drink,Cocktail glass,"['Orange Juice', 'Cream']",cream,Shake with cracked ice. Strain into glass and serve.
Grand Blue,Ordinary Drink,Old-fashioned glass,['Sweet And Sour'],sweet,Serve in an old fashioned glass.
Grass Skirt,Ordinary Drink,Old-fashioned glass,"['Pineapple Juice', 'Pineapple', 'Grenadine']",sweet,"In a shaker half-filled with ice cubes, combine the gin, triple sec, pineapple juice, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the pineapple slice."
Grasshopper,Ordinary Drink,Cocktail glass,['Light Cream'],cream,Pour ingredients into a cocktail shaker with ice. Shake briskly and then strain into a chilled cocktail glass.
Grim Reaper,Ordinary Drink,Old-fashioned glass,['Grenadine'],sweet,Mix Kahlua and 151 in glass. Quickly add ice and pour grenadine over ice to give ice red tint.
Grizzly Bear,Ordinary Drink,Collins Glass,['Milk'],cream,"Served over ice. Sounds nasty, but tastes great."
H.D.,Coffee / Tea,Beer mug,['Coffee'],bitter,Mix the whisky and Baileys Cream in a beer-glass (at least 50 cl). Fill the rest of the glass with coffee.
Happy Skipper,Ordinary Drink,Highball glass,"['Lime', 'Ginger Ale']",sweet,"Pour Captain Morgan's Spiced Rum over ice, fill glass to top with Ginger Ale. Garnish with lime. Tastes like a cream soda. Named for the Gilligan's Island reference (""The Captain"" *in* ""Ginger"" is a Happy Skipper!)"
Harvey Wallbanger,Ordinary Drink,Collins glass,['Orange Juice'],sweet,"Stir the vodka and orange juice with ice in the glass, then float the Galliano on top. Garnish and serve."
Havana Cocktail,Ordinary Drink,Cocktail glass,"['Pineapple Juice', 'Lemon Juice']",sour,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
Hawaiian Cocktail,Ordinary Drink,Cocktail glass,['Pineapple Juice'],sweet,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Hemingway Special,Ordinary Drink,Cocktail glass,"['Lime Juice', 'Grapefruit Juice']",bitter,Pour all ingredients into a shaker with ice. Shake.
Herbal flame,Coffee / Tea,Mason jar,['Very Sweet Tea'],bitter,"Pour Hot Damn 100 in bottom of a jar or regular glass. Fill the rest of the glass with sweet tea. Stir with spoon, straw, or better yet a cinnamon stick and leave it in."
Highland Fling Cocktail,Ordinary Drink,Cocktail glass,['Olive'],salty,Stir all ingredients (except olive) with ice and strain into a cocktail glass. Add the olive and serve.
Horse's Neck,Ordinary Drink,Highball glass,"['Ginger Ale', 'Lemon Peel']",sour,"Pour brandy and ginger ale directly into highball glass with ice cubes. Stir gently. Garnish with lemon zest. If desired, add dashes of Angostura Bitter."
Hot Creamy Bush,Coffee / Tea,Irish coffee cup,['Coffee Hot'],bitter,Combine all ingredients in glass
Ice Pick #1,Ordinary Drink,Collins Glass,"['Lemon Juice', 'Iced Tea']",bitter,Put Vodka in glass fill with iced tea. Stir in lemon to taste.
Iced Coffee Fillip,Coffee / Tea,Coffee mug,['Coffee Cold'],bitter,Mix together in a coffee mug and chill before serving.
Imperial Cocktail,Cocktail,Cocktail glass,['Lime Juice'],sour,Shake with ice and strain into cocktail glass.
Imperial Fizz,Ordinary Drink,Highball glass,"['Lemon', 'Carbonated Water', 'Powdered Sugar']",sweet,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve."
Irish Coffee,Coffee / Tea,Irish coffee cup,"['Whipped Cream', 'Sugar', 'Coffee']",bitter,"Heat the coffee, whiskey and sugar; do not boil. Pour into glass and top with cream; serve hot."
Irish Curdling Cow,Cocktail,Highball glass,['Orange Juice'],sweet,"Pour Irish Cream, Vodka, and Bourbon in a glass. Add some ice and mix in the orange juice."
Irish Russian,Beer,Highball glass,['Coca-Cola'],sweet,Add the ingredients in the order listed in the recipe. Care must be taken when adding the Guinness to prevent an excess of foam. Do Not add ice.
Irish Spring,Ordinary Drink,Collins glass,"['Sweet And Sour', 'Orange Juice', 'Orange', 'Cherry']",sweet,"Pour all ingredients (except orange slice and cherry) into a collins glass over ice cubes. Garnish with the slice of orange, add the cherry on top, and serve."
Jack Rose Cocktail,Ordinary Drink,Cocktail glass,"['Lime', 'Grenadine']",sweet,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Jack's Vanilla Coke,Other/Unknown,Old-fashioned glass,"['Vanilla Extract', 'Coca-Cola']",sweet,"After pouring in your ingredients, and adding 3-5 ice cubes, according to taste. Stir the drink with a stirrer to get the Vanilla off the bottom."
Jam Donut,Shot,Shot glass,"['Sugar Syrup', 'Sugar']",sweet,"Coat the rim of a shot glass with sugar using sugar syrup to stick. Add the Chambord raspberry liqueur to the shot glass, and carefully layer the Baileys Irish Cream on top. Serve."
Jamaica Kiss,Milk / Float / Shake,Hurricane glass,"['Milk', 'Coffee Liqueur']",bitter,Fill a tumbler with ice cubes. Add a shot of Tia Maria and a shot of Jamaican light rum. Fill the tumbler with milk. Blend until smooth and serve immediately.
Jamaican Coffee,Coffee / Tea,Champagne flute,"['Coffee', 'Water Cold', 'Whipped Cream']",cream,"Stir the rum, coffee and water together. Top with the whipped cream. Sprinkle with a pinch of well ground coffee and drink with a straw."
Japanese Fizz,Ordinary Drink,Highball glass,"['Egg White', 'Carbonated Water', 'Lemon', 'Powdered Sugar']",sweet,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve."
Jello shots,Shot,Shot glass,"['Jello', 'Water']",water,"Boil 3 cups of water then add jello. Mix jello and water until jello is completely disolved. Add the two cups of vodka and mix together. Pour mixture into plastic shot glasses and chill until firm. Then, eat away..."
Jelly Bean,Shot,Cordial glass,['Anis'],spicy,mix equal parts in pony glass-tastes just like a jelly bean!
Jitterbug,Cocktail,Cocktail Glass,"['Lime Juice', 'Soda Water', 'Grenadine', 'Sugar Syrup', 'Sugar']",sweet,"Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!"
John Collins,Ordinary Drink,Collins glass,"['Orange', 'Club Soda', 'Maraschino Cherry', 'Lemon Juice', 'Sugar Superfine']",sweet,Pour all ingredients directly into highball glass filled with ice. Stir gently. Garnish. Add a dash of Angostura bitters.
Kamikaze,Ordinary Drink,Cocktail glass,['Lime Juice'],sour,"Shake all ingredients together with ice. Strain into glass, garnish and serve."
Karsk,Ordinary Drink,Highball glass,['Coffee'],bitter,"Put a copper coin in a coffe-cup and fill up with coffee until you no longer see the coin, then add alcohol until you see the coin. Norwegian speciality."
Kentucky Colonel,Ordinary Drink,Cocktail glass,['Lemon Peel'],sour,In a shaker half-filled with ice cubes combine the courbon and Benedictine. Shake and strain into a cocktail glass. Garnish with the lemon twist.
Kioki Coffee,Coffee / Tea,Coffee mug,['Coffee'],bitter,Stir. Add whipped cream to the top.
Kiss me Quick,Ordinary Drink,Highball glass,"['Apple Juice', 'Schweppes Russchian']",bitter,mix in the glass
Kool First Aid,Shot,Shot glass,['Kool-Aid Tropical'],sweet,"Add Kool Aid to a double shot glass, and top with rum. Slam and shoot."
Kool-Aid Shot,Shot,Old-fashioned glass,['Cranberry Juice'],sour,Pour into a large glass with ice and stir. Add a little cranberry juice to taste.
Kool-Aid Slammer,Shot,Shot glass,['Kool-Aid Grape'],sweet,"Fill half the shot glass with the kool-aid first. Then put a paper towel over the top of the glass and slowly pour in the vodka. If you do it right, you should be able to see that the two liquids are separated, with the vodka on top. Now slam it! The last thing you'll taste is the kool-aid."
Kurant Tea,Coffee / Tea,Champagne flute,['Turkish Apple Tea'],sweet,"Pour Absolut Kurant into a comfortably big tea-cup. Add the not too hot(!) apple tea and, if you like, some sugar. Enjoy!"
Lady Love Fizz,Ordinary Drink,Cocktail glass,"['Lemon', 'Light Cream', 'Carbonated Water', 'Powdered Sugar', 'Egg White']",egg,"Shake all ingredients (except carbonated water) with ice and strain into a cocktail glass over two ice cubes. Fill with carbonated water, stir, and serve."
Lemon Drop,Cocktail,Cocktail glass,['Lemon'],sour,Shake and strain into a chilled cocktail glass rimmed with sugar.
Lemon Shot,Shot,Shot glass,"['Sugar', 'Lemon']",sour,"Mix Galliano and Absolut Citron in a shot glass, lay lemon wedge sprinkled with sugar over glass and pour a rum over wedge and glass. light rum with a lighter and let burn for a second. Do shot quickly and suck on lemon. If it is done correctly, this will taste like a shot of sweet lemonade."
Loch Lomond,Ordinary Drink,Cocktail glass,['Lemon Peel'],sour,"In a mixing glass half-filled with ice cubes, combine the Scotch, Drambuie, and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist."
Lone Tree Cooler,Ordinary Drink,Collins glass,"['Lemon Peel', 'Orange Spiral', 'Powdered Sugar', 'Carbonated Water']",water,"Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice, add gin and vermouth, and stir. Fill with carbonated water and stir again. Add the twist of lemon peel and the orange spiral so that the end dangles over rim of glass."
Long Island Iced Tea,Ordinary Drink,Highball glass,"['Coca-Cola', 'Lemon Peel']",sour,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.
Long Island Tea,Ordinary Drink,Highball glass,"['Coca-Cola', 'Lemon']",sour,Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.
Long vodka,Ordinary Drink,Highball glass,"['Tonic Water Schweppes', 'Lime']",sour,"Shake a tall glass with ice cubes and Angostura, coating the inside of the glass. Por the vodka onto this, add 1 slice of lime and squeeze juice out of remainder, mix with tonic, stir and voila you have a Long Vodka"
Lunch Box,Beer,Pint glass,['Orange Juice'],sweet,Fill a pint glass almost full with beer. Then fill the rest with orange juice (careful not to fill it to the top). Then take the shot of Amaretto and drop it in.
Mai Tai,Ordinary Drink,Collins glass,"['Cherry', 'Orgeat Syrup', 'Sweet And Sour']",sweet,Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.
Malibu Twister,Cocktail,Highball glass,"['Cranberry Juice', 'Tropicana']",sweet,"Add rum & trister then, add cranberry jucie,stir"
Manhattan,Cocktail,Cocktail glass,"['Maraschino Cherry', 'Orange Peel']",sweet,"Stirred over ice, strained into a chilled glass, garnished, and served up."
Margarita,Ordinary Drink,Cocktail glass,"['Lime Juice', 'Salt']",salty,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass."
Martinez Cocktail,Cocktail,Cocktail glass,['Cherry'],sweet,Stir all ingredients (except cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.
Martini,Cocktail,Cocktail glass,['Olive'],salty,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive."
Mary Pickford,Cocktail,Cocktail glass,"['Maraschino Cherry', 'Pineapple Juice', 'Grenadine']",sweet,Shake and strain into a chilled large cocktail glass
Miami Vice,Cocktail,Cocktail glass,"['Pina Colada Mix', 'Daiquiri Mix']",sweet,"First: Mix pina colada with 2.5 oz. of rum with ice(set aside). Second: Mix daiquiri with 2.5 oz. of rum with ice. Third: While frozen, add pina colda mix then daiquiri mix in glass (Making sure they do not get mixed together)."
Midnight Cowboy,Ordinary Drink,Cocktail glass,['Heavy Cream'],cream,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
Midnight Manx,Ordinary Drink,Old-fashioned glass,"['Heavy Cream', 'Coffee Hazlenut']",bitter,"Fill a mixer with ice and add Baileys, Kahlua, Goldshlager, and cream. Shake for 5 seconds and Strain into a double rocks glass filled with ice. Add chilled coffee Stir and enjoy!"
Midnight Mint,Cocktail,Cocktail glass,['Cream Double'],cream,"If available, rim cocktail (Martini) glass with sugar syrup then dip into chocolate flakes or powder. Add ingredients into shaker with ice. Shake well then strain into cocktail glass."
Mimosa,Ordinary Drink,Champagne flute,['Orange Juice'],sweet,"Ensure both ingredients are well chilled, then mix into the glass. Serve cold."
Mississippi Planters Punch,Ordinary Drink,Collins glass,"['Powdered Sugar', 'Lemon', 'Carbonated Water']",water,"Shake all ingredients (except carbonated water) with ice and strain into a collins glass over ice cubes. Fill with carbonated water, stir, and serve."
Mocha-Berry,Coffee / Tea,Irish coffee cup,"['Coffee', 'Cocoa Powder', 'Whipped Cream']",cream,"pour 6 oz. of coffee in a mug or Irish coffee cup. add coca mix and chambord, mix well and top off with whipped cream."
Mojito,Cocktail,Highball glass,"['Sugar', 'Mint', 'Lime', 'Soda Water']",sweet,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.
Mojito #3,Cocktail,Collins glass,"['Club Soda', 'Lemon Juice', 'Mint']",mint,"Put mint with lemon juice in a glas, mash the mint with a spoon, ice, rum & fill up with club soda. Top it with Angostura."
Monkey Gland,Ordinary Drink,Cocktail glass,"['Grenadine', 'Orange Juice']",sweet,"Shake well over ice cubes in a shaker, strain into a chilled cocktail glass."
Monkey Wrench,Ordinary Drink,Old-fashioned glass,['Grapefruit Juice'],bitter,Pour all of the ingredients into an old-fashioned glass almost filled with ice cubes. Stir well.
Moranguito,Shot,Shot glass,['Grenadine'],sweet,"first you put rhe absinthe, then put tequila, then put the Granadine syrup."
Moscow Mule,Punch / Party Drink,Copper Mug,"['Lime Juice', 'Ginger Ale']",sweet,Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.
Mother's Milk,Shot,Shot glass,['Milk'],cream,"Shake over ice, strain. Serves two."
Mudslinger,Punch / Party Drink,Punch bowl,"['Orange Juice', 'Pepsi Cola']",sweet,Add all contents to a large jug or punch bowl. Stir well!
Mulled Wine,Punch / Party Drink,Collins Glass,"['Water', 'Cinnamon', 'Cloves', 'Lemon Peel', 'Sugar']",sweet,"Simmer 3 cups water with, sugar, cloves, cinnamon sticks, and lemon peel in a stainless steel pot for 10 minutes. Add wine heat to a ""coffee temperature"" (DO NOT BOIL) then add the brandy."
National Aquarium,Ordinary Drink,Collins Glass,"['Sour Mix', 'Lemon-Lime Soda']",sweet,Pour all ingredients into a shaker of ice. Shake well. Serve on the rocks.
